Station ID,Complex ID,GTFS Stop ID,Division,Line,STATION,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
119,119,L06,BMT,Canarsie,1 AV,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn
156,156,A18,IND,8th Av - Fulton St,103 ST,M,B C,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn
309,309,119,IRT,Broadway - 7Av,103 ST,M,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown
395,395,624,IRT,Lexington Av,103 ST,M,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown
450,450,706,IRT,Flushing,103 ST-CORONA,Q,7,Elevated,40.749865,-73.8627,Flushing,Manhattan
82,82,J14,BMT,Jamaica,104 ST,Q,J Z,Elevated,40.695178,-73.84433,Jamaica,Manhattan
193,193,A63,IND,Liberty Av,104 ST,Q,A,Elevated,40.681711,-73.837683,Manhattan,Lefferts Blvd
394,394,623,IRT,Lexington Av,110 ST,M,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown
449,449,705,IRT,Flushing,111 ST,Q,7,Elevated,40.75173,-73.855334,Flushing,Manhattan
81,81,J13,BMT,Jamaica,111 ST,Q,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan
194,194,A64,IND,Liberty Av,111 ST,Q,A,Elevated,40.684331,-73.832163,Manhattan,Lefferts Blvd
154,154,A16,IND,8th Av - Fulton St,116 ST,M,B C,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn
440,440,226,IRT,Lenox - White Plains Rd,116 ST,M,2 3,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn
393,393,622,IRT,Lexington Av,116 ST,M,6,Subway,40.798629,-73.941617,Uptown & The Bronx,Downtown
307,307,117,IRT,Broadway - 7Av,116 ST-COLUMBIA,M,1,Subway,40.807722,-73.96411,Uptown & The Bronx,Downtown
80,80,J12,BMT,Jamaica,121 ST,Q,J Z,Elevated,40.700492,-73.828294,Jamaica,Manhattan
153,153,A15,IND,8th Av - Fulton St,125 ST,M,A B C D,Subway,40.811109,-73.952343,Uptown & The Bronx,Downtown & Brooklyn
306,306,116,IRT,Broadway - 7Av,125 ST,M,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown
439,439,225,IRT,Lenox - White Plains Rd,125 ST,M,2 3,Subway,40.807754,-73.945495,Uptown & The Bronx,Downtown & Brooklyn
392,392,621,IRT,Lexington Av,125 ST,M,4 5 6,Subway,40.804138,-73.937594,The Bronx,Downtown & Brooklyn
152,152,A14,IND,8th Av - Fulton St,135 ST,M,B C,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn
438,438,224,IRT,Lenox - White Plains Rd,135 ST,M,2 3,Subway,40.814229,-73.94077,Uptown & The Bronx,Downtown & Brooklyn
305,305,115,IRT,Broadway - 7Av,137 ST CITY COL,M,1,Subway,40.822008,-73.953676,Uptown & The Bronx,Downtown
391,391,416,IRT,Jerome Av,138/GRAND CONC,Bx,4 5,Subway,40.813224,-73.929849,Woodlawn - Eastchester Dyre Av,Manhattan
15,602,R20,BMT,Broadway - Brighton,14 ST-UNION SQ,M,N Q R W,Subway,40.735736,-73.990568,Uptown & Queens,Downtown & Brooklyn
406,602,635,IRT,Lexington Av,14 ST-UNION SQ,M,4 5 6,Subway,40.734673,-73.989951,Uptown & The Bronx,Downtown & Brooklyn
151,151,A12,IND,8th Av - Fulton St,145 ST,M,A C,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
304,304,114,IRT,Broadway - 7Av,145 ST,M,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown
