,Station,Entries,Exits,Latitude,Longitude,Date
0,59 ST,31647,27827,40.641362,-74.017881,02/01/2020
1,59 ST,22818,21229,40.641362,-74.017881,02/02/2020
2,59 ST,57196,52794,40.641362,-74.017881,02/03/2020
3,59 ST,59354,54674,40.641362,-74.017881,02/04/2020
4,59 ST,60576,56826,40.641362,-74.017881,02/05/2020
5,59 ST,59846,55783,40.641362,-74.017881,02/06/2020
6,59 ST,58612,54287,40.641362,-74.017881,02/07/2020
7,5 AV/59 ST,7093,5250,40.764811,-73.973347,02/01/2020
8,5 AV/59 ST,5364,4094,40.764811,-73.973347,02/02/2020
9,5 AV/59 ST,13214,10263,40.764811,-73.973347,02/03/2020
10,5 AV/59 ST,13705,10639,40.764811,-73.973347,02/04/2020
11,5 AV/59 ST,13900,11044,40.764811,-73.973347,02/05/2020
12,5 AV/59 ST,13531,10628,40.764811,-73.973347,02/06/2020
13,5 AV/59 ST,13109,10765,40.764811,-73.973347,02/07/2020
14,57 ST-7 AV,19819,14355,40.764664,-73.98065799999999,02/01/2020
15,57 ST-7 AV,15848,11456,40.764664,-73.98065799999999,02/02/2020
16,57 ST-7 AV,32885,24278,40.764664,-73.98065799999999,02/03/2020
17,57 ST-7 AV,35378,26485,40.764664,-73.98065799999999,02/04/2020
18,57 ST-7 AV,35111,26864,40.764664,-73.98065799999999,02/05/2020
19,57 ST-7 AV,36165,26960,40.764664,-73.98065799999999,02/06/2020
20,57 ST-7 AV,33604,26166,40.764664,-73.98065799999999,02/07/2020
21,49 ST,7759,5019,40.759901,-73.984139,02/01/2020
22,49 ST,5888,4266,40.759901,-73.984139,02/02/2020
23,49 ST,19333,16308,40.759901,-73.984139,02/03/2020
24,49 ST,20967,17392,40.759901,-73.984139,02/04/2020
25,49 ST,21459,17813,40.759901,-73.984139,02/05/2020
26,49 ST,21886,17836,40.759901,-73.984139,02/06/2020
27,49 ST,21703,18377,40.759901,-73.984139,02/07/2020
28,TIMES SQ-42 ST,45129,52971,40.75529,-73.987495,02/01/2020
29,TIMES SQ-42 ST,32767,36795,40.75529,-73.987495,02/02/2020
30,TIMES SQ-42 ST,81872,82615,40.75529,-73.987495,02/03/2020
31,TIMES SQ-42 ST,87697,88152,40.75529,-73.987495,02/04/2020
32,TIMES SQ-42 ST,90385,90655,40.75529,-73.987495,02/05/2020
33,TIMES SQ-42 ST,88544,91291,40.75529,-73.987495,02/06/2020
34,TIMES SQ-42 ST,85366,90983,40.75529,-73.987495,02/07/2020
35,34 ST-HERALD SQ,59536,64562,40.749719,-73.98782299999999,02/01/2020
36,34 ST-HERALD SQ,6613087,6399254,40.749719,-73.98782299999999,02/02/2020
37,34 ST-HERALD SQ,111424,105665,40.749719,-73.98782299999999,02/03/2020
38,34 ST-HERALD SQ,113174,107447,40.749719,-73.98782299999999,02/04/2020
39,34 ST-HERALD SQ,115219,109805,40.749719,-73.98782299999999,02/05/2020
40,34 ST-HERALD SQ,114021,109906,40.749719,-73.98782299999999,02/06/2020
41,34 ST-HERALD SQ,113742,112882,40.749719,-73.98782299999999,02/07/2020
42,28 ST,15699,18121,40.747215000000004,-73.993365,02/01/2020
43,28 ST,12425,13722,40.747215000000004,-73.993365,02/02/2020
44,28 ST,40531,39852,40.747215000000004,-73.993365,02/03/2020
45,28 ST,43236,43183,40.747215000000004,-73.993365,02/04/2020
46,28 ST,44459,44454,40.747215000000004,-73.993365,02/05/2020
47,28 ST,44876,44517,40.747215000000004,-73.993365,02/06/2020
48,28 ST,43146,43800,40.747215000000004,-73.993365,02/07/2020
49,23 ST,47398,43837,40.742878000000005,-73.99282099999999,02/01/2020
50,23 ST,35433,32416,40.742878000000005,-73.99282099999999,02/02/2020
51,23 ST,110194,86515,40.742878000000005,-73.99282099999999,02/03/2020
52,23 ST,115694,92107,40.742878000000005,-73.99282099999999,02/04/2020
53,23 ST,118690,92669,40.742878000000005,-73.99282099999999,02/05/2020
54,23 ST,118285,93757,40.742878000000005,-73.99282099999999,02/06/2020
55,23 ST,110857,87739,40.742878000000005,-73.99282099999999,02/07/2020
56,14 ST-UNION SQ,49561,55857,40.735735999999996,-73.99056800000001,02/01/2020
57,14 ST-UNION SQ,38126,41903,40.735735999999996,-73.99056800000001,02/02/2020
58,14 ST-UNION SQ,78350,83327,40.735735999999996,-73.99056800000001,02/03/2020
59,14 ST-UNION SQ,80848,86544,40.735735999999996,-73.99056800000001,02/04/2020
60,14 ST-UNION SQ,82407,89167,40.735735999999996,-73.99056800000001,02/05/2020
